ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
TTD,-0.10962135615377758,25,0,0,0.9,0.5216
TTE,-0.1596023085359751,17,1,20,1.0,0.2764
TTEC,-0.14981942615527372,18,1,32,1.0,0.4635
TTEK,0.018443287503898745,66,0,0,0.25,0.3339
TTGT,-0.14023282111658192,19,1,4,0.85,0.4338
TTI,-0.05319936480108227,37,1,7,0.5,0.3031
TTMI,-0.07116322578015626,33,1,9,0.45,0.348
TTRX,1.1749027839026407,99,0,0,0.0,0.0371
TTWO,0.10605615556175713,83,1,1,0.2,0.1051
TU,-0.1755007301816311,15,1,20,1.0,0.3159
TULP,-0.16428652383703057,16,1,5,0.8,0.3922
TURB,-0.08584521249490418,29,1,2,0.5,
TUSK,-0.04381314726296985,40,1,5,0.8,0.2706
TUYA,-0.1857164799627041,15,1,3,0.9,0.3678
TV,-0.061333998429218196,35,1,14,0.7,0.2685
TVA,-0.03784760697458829,45,1,2,0.65,0.1498
TVACU,-0.023268976798175547,52,0,0,0.6,0.1622
TVAI,-0.03858583389050185,44,1,8,0.65,0.1552
TVAIU,-0.040278237719549435,42,1,9,0.95,0.1562
TVGN,-0.4329611806555661,3,1,10,0.6,0.749
TVRD,0.003008952782775784,61,0,0,0.8,
TVTX,0.2971222426439737,94,0,0,0.0,0.0715
TW,-0.12277705330646294,23,1,4,0.85,0.329
TWAV,-0.2344818308969829,10,1,15,0.75,0.4464
TWFG,0.27300052763837446,93,0,0,0.0,0.1401
TWG,-0.23667870373120797,10,1,68,1.0,
TWI,-0.09952831861001464,27,1,7,0.6,0.413
TWIN,0.12281062848187818,85,0,0,0.05,0.0971
TWLO,0.1430531158567636,87,0,0,0.45,0.0931
TWLV,-0.039515236701088766,43,1,9,0.7,0.1583
TWLVU,-0.04394742870777146,40,1,8,0.65,0.165
TWN,0.014705179285928446,65,1,4,0.55,0.0741
TWO,-0.0192451503691579,54,1,8,0.6,0.1722
TWST,0.45240922016149643,97,0,0,0.0,0.1285
TX,-0.06986737238073568,33,1,16,0.8,0.1324
TXG,0.619520838878237,97,0,0,0.0,0.0128
TXMD,-0.013880277872311608,56,1,5,0.55,0.341
TXN,0.11149387845482811,84,0,0,0.35,0.0758
TXNM,-0.06862959870108466,33,1,9,0.85,0.1844
TXO,-0.009423398291474164,58,0,0,0.8,0.1442
TXRH,0.08694320052892376,80,0,0,0.25,0.1237
TXT,-0.0579166029952491,36,1,4,0.5,0.183
TY,0.014886377781795454,65,0,0,0.1,0.0184
TYG,-0.06000979280615881,35,1,2,0.8,0.2527
TYGO,-0.45913997977404336,3,1,45,1.0,0.6182
TYL,-0.06577161156783154,34,0,0,0.6,0.3772
TYRA,0.0521160059821663,75,0,0,0.35,0.2836
TZOO,0.20586062649958142,91,1,3,0.15,0.1092
U,0.11462580624479235,84,0,0,0.4,0.4017
UA,0.07847221559253652,79,0,0,0.05,0.238
UAA,0.07680598435182764,79,0,0,0.05,0.2423
UAL,0.16831877228891626,88,1,1,0.05,0.1061
UAMY,-0.2711445871432211,8,1,6,0.95,0.5033
UAN,-0.05924636364244262,35,0,0,0.8,0.2751
UAVS,-0.24029635126750998,10,1,26,1.0,0.5897
UBCP,-0.044650270165615166,40,1,2,0.3,0.1917
UBER,-0.010408418178886256,57,0,0,0.5,0.2051
UBS,0.10372093467757651,83,0,0,0.0,0.0062
UBSI,0.010748672167788367,64,0,0,0.05,0.0625
UBXG,0.003204453320127615,61,1,8,0.45,
UCAR,-0.19060443994156093,14,1,11,0.95,
UCB,0.014284907348389227,65,0,0,0.25,0.1062
UCFI,-0.04394742870777146,40,1,9,0.7,0.165
UCL,-0.20995276651071237,12,1,14,0.9,0.5281
UCTT,0.19241955653014509,90,1,6,0.3,0.2628
UDR,0.01434421955063643,65,1,2,0.3,0.0778
UE,-0.01886088526303591,54,1,3,0.5,0.0738
UEC,-0.18759342187391143,14,1,26,1.0,0.5209
UEIC,0.10279621869190642,83,0,0,0.2,0.1044
UFCS,0.09918641767230896,82,0,0,0.0,0.0546
UFG,-0.2248494879805818,11,1,8,0.6,0.4987
UFI,0.3855469772514471,96,0,0,0.15,0.0
UFPI,-0.05321690316783017,37,1,5,0.25,0.3298
UFPT,0.009575431568224421,63,1,2,0.1,0.1936
UG,0.00118324820719104,61,1,1,0.3,0.1136
UGI,0.005088349691329541,62,0,0,0.4,0.1808
UGP,0.07483206143746451,78,0,0,0.6,0.1055
UHAL,0.1518403245876898,87,0,0,0.0,0.0301
UHS,-0.07250479896453207,32,0,0,0.65,0.4035
UHT,0.03810426480893374,71,0,0,0.35,0.0982
UI,-0.23712428389570078,10,1,44,1.0,0.5227
UIS,0.26327230120178946,93,0,0,0.65,0.1488
UK,-0.34470636782068453,5,1,46,1.0,0.738
UL,0.02527891685225217,68,0,0,0.05,0.2439
ULBI,-0.1284812716516597,21,1,26,1.0,0.311
ULCC,0.2584841608091661,93,1,1,0.05,0.1625
ULH,-0.19397564879250268,14,1,17,0.85,0.4587
ULS,-0.13334198106077283,20,1,6,0.7,0.2021
ULTA,-0.10704797939009898,26,1,9,0.85,0.4028
UMAC,0.0732016217355113,78,1,6,0.65,
UMBF,0.07773103483113428,79,0,0,0.0,0.0365
UMBFO,-0.029959184775892433,49,1,2,0.55,0.129
UMC,0.5806625940598209,97,0,0,0.05,0.1412
UMH,-0.04742731656642653,39,1,3,0.55,0.1395
UNB,0.0003138341898570457,61,0,0,0.35,0.1307
UNCY,-0.33208244080598737,5,1,8,0.7,0.3996
UNF,-0.006514673957760481,58,0,0,0.45,0.1311
UNFI,-0.03024543119726576,49,1,11,0.8,0.1423
UNH,0.08850201087638443,81,0,0,0.0,0.0418
UNIT,-0.07833274759995719,31,1,16,0.8,0.1676
UNM,0.0074956629821140985,62,1,5,0.3,0.0753
UNP,0.041636663629466164,72,0,0,0.35,0.0274
UNTY,-0.021404845303642284,53,1,5,0.3,0.1037
UONE,-0.26970833421859985,8,1,15,0.95,0.7101
UONEK,-0.19778258936538962,13,1,4,0.9,0.578
UP,0.0296184746761088,69,1,3,0.4,0.68
UPB,-0.08812254109575716,29,0,0,0.6,0.7889
UPBD,0.10719189853078484,83,0,0,0.1,0.1194
UPC,0.6598826980469079,98,0,0,0.45,
UPLD,-0.4060314060919842,3,1,25,1.0,0.7101
UPS,0.04285784347114567,73,0,0,0.15,0.1264
UPST,0.06114545348350871,76,1,4,0.3,0.38
UPWK,-0.07498191052141161,32,0,0,0.75,0.6377
UPXI,-0.23812845789836215,10,1,33,1.0,0.6931
URBN,-0.088375732968441,29,1,9,0.7,0.157
URG,-0.21855897563501833,11,1,17,0.95,0.3953
URGN,0.4093405653803124,96,0,0,0.0,0.0456
URI,0.09429796470205559,81,0,0,0.15,0.0649
UROY,-0.2328031481406796,10,1,26,1.0,0.5385
USA,-0.008369438217147994,58,0,0,0.6,0.1038
USAC,-0.08799507937556847,29,1,2,0.9,0.1972
USAR,-0.1751515491652091,15,1,13,0.9,0.3959
USAS,-0.24325580726579313,9,1,15,0.85,0.6123
USAU,-0.0706067592264507,33,1,3,0.6,0.3977
USB,0.08139113183851693,80,0,0,0.0,0.0465
USBC,-0.16123801249661962,17,1,12,0.8,0.5557
