code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00673,23.0,4,1,19,0.95,
HK.00674,13.0,5,1,8,0.65,0.8296
HK.00675,75.0,81,0,0,0.45,0.2486
HK.00676,66.0,66,1,8,0.4,0.1277
HK.00677,71.0,74,1,13,0.65,0.3698
HK.00679,98.0,1,1,22,1.0,
HK.00681,74.0,76,1,15,0.8,0.2959
HK.00682,41.0,29,1,13,0.7,0.6445
HK.00683,53.0,48,1,47,1.0,0.1746
HK.00684,28.0,19,1,20,1.0,0.6717
HK.00685,42.0,25,1,6,0.55,0.4369
HK.00686,37.0,59,0,0,0.75,0.5755
HK.00687,73.0,44,1,12,0.6,0.1429
HK.00688,72.0,70,1,25,1.0,0.3015
HK.00689,54.0,10,1,16,0.95,0.6029
HK.00690,32.0,52,1,13,0.65,0.4682
HK.00691,7.0,10,1,30,1.0,0.7452
HK.00693,75.0,59,1,13,0.65,0.1168
HK.00694,22.0,67,0,0,0.8,0.5675
HK.00695,94.0,93,0,0,0.35,0.0
HK.00696,38.0,58,1,3,0.65,0.3769
HK.00697,52.0,76,0,0,0.7,0.2683
HK.00698,5.0,7,1,42,1.0,0.7823
HK.00700,34.0,69,1,2,0.2,0.2925
HK.00701,7.0,21,1,5,0.6,0.7618
HK.00702,64.0,62,1,11,0.55,
HK.00703,26.0,21,1,12,0.6,0.6853
HK.00704,84.0,62,1,11,0.55,
HK.00707,58.0,62,1,11,0.55,0.7959
HK.00708,64.0,62,1,11,0.55,
HK.00709,63.0,52,1,13,0.65,0.305
HK.00710,37.0,47,1,9,0.8,0.5502
HK.00711,78.0,91,0,0,0.2,0.2881
HK.00712,8.0,17,1,58,1.0,
HK.00713,41.0,49,1,14,0.7,0.5612
HK.00716,25.0,50,1,13,0.9,0.5371
HK.00717,16.0,28,1,1,0.9,
HK.00718,40.0,49,1,4,0.35,
HK.00719,49.0,70,0,0,0.05,0.3138
HK.00720,83.0,11,1,14,0.7,0.3552
HK.00722,61.0,45,1,15,0.75,0.2563
HK.00723,44.0,78,0,0,0.8,
HK.00725,87.0,54,1,25,1.0,0.3539
HK.00726,62.0,77,1,4,0.75,0.8476
HK.00727,20.0,66,1,18,0.9,
HK.00728,47.0,52,1,28,1.0,0.3105
HK.00730,58.0,47,1,9,0.45,0.3825
HK.00731,87.0,7,1,28,1.0,0.4677
HK.00732,41.0,42,1,15,0.8,0.3745
HK.00733,29.0,71,0,0,0.6,
HK.00736,4.0,4,1,71,1.0,
HK.00737,67.0,56,1,14,0.7,0.2415
HK.00738,73.0,53,1,4,0.4,0.5183
HK.00743,38.0,17,1,12,0.6,0.6093
HK.00745,99.0,99,0,0,0.15,
HK.00746,70.0,82,0,0,0.6,0.1609
HK.00747,72.0,59,0,0,0.55,0.4313
HK.00750,35.0,28,1,16,0.8,0.6176
HK.00751,54.0,22,1,78,1.0,0.3543
HK.00752,50.0,64,1,1,0.45,0.1324
HK.00753,24.0,33,1,17,0.85,0.4205
