code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00456,68.0,9,1,3,0.65
HK.00458,55.0,14,1,23,1.0
HK.00460,14.0,17,1,4,0.95
HK.00464,77.0,47,1,22,1.0
HK.00465,98.0,81,0,0,0.3
HK.00467,21.0,56,0,0,0.6
HK.00468,66.0,50,1,8,0.95
HK.00470,,24,1,2,0.45
HK.00471,1.0,1,1,32,1.0
HK.00472,55.0,88,0,0,0.25
HK.00474,96.0,93,0,0,0.55
HK.00475,19.0,2,1,37,1.0
HK.00476,51.0,94,0,0,0.1
HK.00480,53.0,33,1,14,0.95
HK.00482,21.0,6,1,21,1.0
HK.00483,25.0,55,1,1,0.3
HK.00484,51.0,75,1,1,0.3
HK.00485,61.0,63,1,5,0.75
HK.00486,17.0,30,1,8,0.9
HK.00487,11.0,24,1,9,0.9
HK.00488,49.0,12,1,12,0.75
HK.00491,23.0,23,1,2,0.55
HK.00493,14.0,31,1,8,0.95
HK.00496,4.0,11,1,69,1.0
HK.00497,38.0,16,1,41,1.0
HK.00498,14.0,50,1,8,0.95
HK.00499,89.0,54,0,0,0.65
HK.00500,43.0,77,1,1,0.5
HK.00505,51.0,45,1,8,0.95
HK.00506,73.0,82,0,0,0.65
HK.00508,18.0,7,1,43,1.0
HK.00509,66.0,50,1,8,0.95
HK.00510,79.0,19,1,21,1.0
HK.00511,26.0,33,1,7,0.45
HK.00512,33.0,73,1,1,0.55
HK.00513,19.0,63,1,5,0.45
HK.00515,46.0,50,1,8,0.95
HK.00517,69.0,70,0,0,0.4
HK.00518,44.0,12,1,40,1.0
HK.00519,50.0,29,1,25,1.0
HK.00520,5.0,40,0,0,0.55
HK.00521,16.0,8,1,40,1.0
HK.00522,92.0,52,1,6,0.75
HK.00524,98.0,86,0,0,0.85
HK.00525,79.0,69,0,0,0.75
HK.00526,67.0,13,0,0,0.95
HK.00527,82.0,88,0,0,0.3
HK.00528,76.0,60,1,11,0.6
HK.00529,55.0,61,1,1,0.7
HK.00532,36.0,8,1,52,1.0
HK.00533,52.0,35,1,36,1.0
HK.00535,9.0,35,0,0,0.85
HK.00536,80.0,63,1,1,0.8
HK.00538,58.0,39,1,8,0.95
HK.00540,81.0,52,0,0,0.75
HK.00542,27.0,2,1,1,0.2
HK.00543,46.0,47,1,8,0.65
HK.00544,5.0,10,1,40,1.0
HK.00546,20.0,46,1,7,0.85
HK.00547,35.0,54,1,8,0.75
HK.00548,63.0,60,0,0,0.85
HK.00550,98.0,11,1,23,1.0
HK.00551,60.0,60,1,2,0.65
HK.00552,53.0,34,1,17,0.95
HK.00553,16.0,17,1,10,0.9
HK.00554,42.0,41,1,6,0.85
HK.00556,87.0,70,0,0,0.65
HK.00557,48.0,46,1,38,1.0
HK.00558,3.0,13,1,6,0.9
HK.00559,61.0,50,1,8,0.95
HK.00560,40.0,27,1,38,1.0
HK.00563,29.0,54,0,0,0.85
HK.00564,30.0,38,1,12,0.8
HK.00565,93.0,79,0,0,0.5
HK.00567,94.0,53,1,13,0.9
HK.00568,58.0,26,1,23,1.0
HK.00570,23.0,42,1,28,1.0
HK.00571,48.0,57,0,0,0.85
HK.00572,50.0,77,0,0,0.25
HK.00573,38.0,31,1,13,0.95
HK.00574,2.0,10,1,52,1.0
HK.00575,86.0,74,1,10,0.85
HK.00576,56.0,53,0,0,0.8
HK.00579,36.0,19,1,37,1.0
HK.00580,13.0,3,1,6,0.9
HK.00581,41.0,59,1,2,0.35
HK.00582,30.0,95,0,0,0.05
HK.00583,35.0,25,1,7,0.5
HK.00585,98.0,85,1,1,0.45
HK.00586,36.0,22,1,36,1.0
HK.00587,5.0,11,1,31,1.0
HK.00588,42.0,59,0,0,0.6
HK.00590,73.0,76,1,1,0.35
HK.00591,37.0,38,1,8,0.95
HK.00595,96.0,93,0,0,0.25
HK.00596,7.0,41,1,6,0.9
HK.00598,56.0,60,1,1,0.5
HK.00599,36.0,43,1,6,0.9
HK.00600,,94,0,0,0.25
HK.00601,66.0,50,1,8,0.95
HK.00602,39.0,41,1,8,0.9
HK.00603,19.0,18,1,1,0.9
HK.00604,38.0,67,0,0,0.5
HK.00605,54.0,67,0,0,0.35
HK.00606,44.0,22,1,1,0.75
HK.00607,18.0,2,1,48,1.0
HK.00608,45.0,38,1,1,0.9
HK.00609,32.0,35,1,8,0.85
HK.00610,76.0,62,1,4,0.3
HK.00611,43.0,21,1,22,1.0
HK.00613,96.0,95,1,1,0.05
HK.00616,7.0,1,1,38,1.0
HK.00617,27.0,70,0,0,0.25
HK.00618,91.0,36,1,4,0.75
HK.00619,26.0,8,1,21,1.0
HK.00620,11.0,2,1,14,0.9
HK.00621,56.0,55,1,1,0.5
HK.00622,97.0,85,0,0,0.0
