code,rs_percentile_12m,rs_percentile_3m
HK.00728,50.0,78
HK.00730,53.0,55
HK.00731,95.0,97
HK.00732,52.0,76
HK.00733,19.0,38
HK.00736,60.0,3
HK.00737,61.0,55
HK.00738,75.0,34
HK.00743,53.0,59
HK.00745,99.0,99
HK.00746,50.0,45
HK.00747,85.0,35
HK.00750,35.0,57
HK.00751,84.0,23
HK.00752,40.0,24
HK.00753,24.0,48
HK.00754,25.0,46
HK.00755,29.0,36
HK.00756,88.0,91
HK.00757,27.0,30
HK.00759,36.0,21
HK.00760,56.0,81
HK.00762,42.0,79
HK.00763,43.0,70
HK.00764,6.0,9
HK.00765,5.0,12
HK.00767,30.0,15
HK.00769,74.0,63
HK.00771,70.0,81
HK.00772,15.0,20
HK.00775,22.0,40
HK.00776,6.0,12
HK.00777,34.0,60
HK.00780,13.0,9
HK.00784,98.0,98
HK.00788,42.0,43
HK.00789,26.0,19
HK.00794,90.0,87
HK.00797,82.0,84
HK.00798,30.0,30
HK.00799,66.0,88
HK.00800,,76
HK.00804,87.0,74
HK.00805,95.0,98
HK.00806,59.0,67
HK.00807,45.0,39
HK.00809,29.0,74
HK.00811,44.0,53
HK.00813,1.0,2
HK.00814,40.0,30
HK.00815,24.0,4
HK.00816,44.0,76
HK.00817,77.0,85
HK.00818,45.0,60
HK.00819,27.0,12
HK.00821,14.0,35
HK.00822,41.0,82
HK.00825,47.0,27
HK.00826,82.0,75
HK.00827,65.0,5
HK.00828,12.0,16
HK.00829,8.0,8
HK.00830,9.0,30
HK.00831,78.0,73
HK.00832,11.0,40
HK.00833,90.0,94
HK.00834,78.0,69
HK.00836,71.0,81
HK.00837,56.0,36
HK.00838,46.0,77
HK.00839,13.0,7
HK.00840,58.0,35
HK.00841,88.0,58
HK.00842,30.0,89
HK.00844,64.0,82
HK.00845,55.0,63
HK.00846,20.0,23
HK.00848,38.0,57
HK.00851,21.0,48
HK.00852,55.0,63
HK.00853,20.0,15
HK.00854,51.0,67
HK.00855,30.0,52
HK.00856,79.0,84
HK.00857,84.0,60
HK.00858,52.0,67
HK.00859,69.0,39
HK.00860,18.0,61
HK.00861,29.0,75
HK.00862,85.0,84
HK.00863,20.0,12
HK.00864,82.0,50
HK.00865,61.0,66
HK.00866,31.0,2
HK.00867,34.0,12
HK.00868,73.0,68
HK.00869,60.0,83
HK.00871,20.0,8
HK.00873,22.0,39
HK.00874,31.0,30
HK.00875,13.0,2
HK.00876,94.0,7
HK.00878,62.0,71
HK.00880,14.0,19
HK.00881,4.0,11
HK.00882,40.0,31
HK.00883,81.0,41
HK.00884,2.0,12
HK.00887,36.0,19
HK.00888,16.0,76
HK.00889,73.0,79
HK.00893,43.0,29
HK.00894,97.0,98
HK.00895,24.0,24
HK.00896,66.0,76
HK.00897,37.0,32
HK.00898,40.0,28
HK.00899,12.0,69
HK.00900,78.0,80
HK.00902,79.0,84
HK.00907,32.0,73
HK.00909,11.0,25
HK.00910,55.0,63
HK.00911,96.0,98
HK.00912,53.0,45
HK.00914,26.0,29
HK.00915,45.0,88
HK.00916,46.0,47
HK.00917,,3
HK.00918,90.0,93
HK.00919,64.0,85
HK.00921,49.0,80
HK.00922,49.0,73
HK.00923,63.0,54
HK.00924,2.0,1
HK.00926,52.0,57
HK.00927,28.0,57
HK.00928,30.0,35
HK.00929,82.0,90
HK.00931,48.0,11
HK.00932,33.0,50
HK.00933,32.0,20
HK.00934,38.0,39
HK.00936,87.0,50
HK.00938,28.0,78
HK.00939,73.0,72
HK.00941,62.0,78
HK.00943,31.0,45
HK.00945,74.0,77
HK.00947,78.0,36
HK.00948,21.0,8
HK.00950,12.0,25
HK.00951,78.0,69
HK.00952,18.0,9
HK.00953,11.0,3
HK.00954,64.0,58
HK.00956,27.0,19
HK.00959,69.0,63
HK.00960,21.0,38
HK.00966,69.0,42
HK.00968,30.0,18
HK.00969,41.0,76
HK.00970,24.0,30
HK.00974,35.0,57
HK.00975,46.0,14
HK.00976,55.0,63
HK.00978,56.0,82
HK.00979,67.0,70
HK.00980,24.0,67
HK.00981,87.0,93
HK.00983,24.0,41
HK.00984,9.0,7
HK.00986,3.0,9
HK.00987,88.0,90
HK.00989,79.0,22
HK.00990,78.0,70
HK.00991,85.0,87
HK.00992,93.0,97
HK.00993,13.0,26
HK.00994,90.0,67
HK.00995,81.0,77
HK.00997,19.0,34
HK.00998,67.0,53
HK.00999,24.0,47
HK.01000,32.0,14
HK.01001,70.0,83
HK.01002,59.0,69
HK.01003,18.0,18
HK.01004,26.0,10
HK.01005,28.0,13
HK.01007,55.0,63
HK.01008,27.0,37
HK.01009,77.0,91
HK.01010,23.0,74
HK.01011,42.0,19
HK.01013,95.0,84
HK.01020,94.0,6
HK.01022,78.0,50
HK.01023,60.0,61
HK.01024,15.0,36
HK.01025,45.0,53
HK.01026,17.0,59
HK.01027,89.0,41
HK.01028,97.0,97
HK.01029,28.0,40
HK.01030,22.0,18
HK.01033,37.0,14
HK.01036,63.0,48
HK.01037,86.0,79
HK.01038,71.0,51
HK.01039,56.0,32
HK.01044,53.0,39
HK.01045,85.0,60
HK.01046,64.0,87
HK.01047,53.0,59
HK.01049,72.0,27
HK.01050,93.0,88
HK.01051,15.0,4
HK.01052,56.0,47
HK.01053,31.0,24
HK.01055,26.0,30
HK.01057,49.0,28
HK.01058,48.0,37
HK.01059,75.0,46
HK.01060,26.0,65
HK.01061,11.0,17
HK.01063,31.0,25
